st,g1,b1,b3,qntl,toe_SV,para_SV,sd_SV,mean.se_SV
b,-0.15,-0.4,-0.1,0.01,0.636,-0.150364087,0.065586883,0.065467986
b,-0.15,-0.4,-0.1,0.2,0.6674,-0.150920818,0.062883576,0.063167601
b,-0.15,-0.4,-0.2,0.01,0.6497,-0.15039505,0.064366933,0.064203333
b,-0.15,-0.4,-0.2,0.2,0.6694,-0.151023685,0.062720238,0.062856053
b,-0.15,-0.4,-0.3,0.01,0.6552,-0.150446894,0.06426241,0.063645471
b,-0.15,-0.4,-0.3,0.2,0.6767,-0.151173677,0.062549657,0.062629433
b,-0.15,-0.4,-0.4,0.01,0.6542,-0.15049285,0.064517472,0.063799052
b,-0.15,-0.4,-0.4,0.2,0.673,-0.151058572,0.062355599,0.062488963
b,-0.15,-0.4,-0.5,0.01,0.6401,-0.150359889,0.065426598,0.064666665
b,-0.15,-0.4,-0.5,0.2,0.674,-0.151041061,0.062457976,0.062429181
b,-0.15,-0.4,-0.6,0.01,0.6167,-0.150629489,0.06720112,0.066276888
b,-0.15,-0.4,-0.6,0.2,0.6722,-0.150773058,0.062429049,0.062451966
b,-0.15,-0.4,-0.7,0.01,0.5886,-0.150679827,0.069879264,0.06867452
b,-0.15,-0.4,-0.7,0.2,0.6699,-0.150873513,0.062695296,0.062557015
b,-0.15,-0.4,0.1,0.01,0.5706,-0.150607808,0.070898044,0.070349135
b,-0.15,-0.4,0.1,0.2,0.6564,-0.150923615,0.063446907,0.064058495
b,-0.15,-0.4,0.2,0.01,0.5287,-0.150647472,0.074217495,0.074112632
b,-0.15,-0.4,0.2,0.2,0.6504,-0.150968358,0.064074045,0.064650956
b,-0.15,-0.4,0.3,0.01,0.483,-0.150302922,0.078940109,0.078905757
b,-0.15,-0.4,0.3,0.2,0.6365,-0.150818427,0.064922495,0.065343619
b,-0.15,-0.4,0.4,0.01,0.4251,-0.150003933,0.084929246,0.084862481
b,-0.15,-0.4,0.4,0.2,0.6293,-0.150802107,0.06561148,0.066150554
b,-0.15,-0.4,0.5,0.01,0.3764,-0.15019793,0.092899837,0.092176115
b,-0.15,-0.4,0.5,0.2,0.615,-0.150560603,0.066742389,0.06708186
b,-0.15,-0.4,0.6,0.01,0.323979592,-0.149848856,0.102113442,0.101101434
b,-0.15,-0.4,0.6,0.2,0.6031,-0.150575021,0.067920408,0.06814685
b,-0.15,-0.4,0.7,0.01,0.28255102,-0.150268479,0.112725119,0.111848751
b,-0.15,-0.4,0.7,0.2,0.5793,-0.150273572,0.069308942,0.069345832
b,-0.15,-0.4,0,0.01,0.6012,-0.150066022,0.06772383,0.067499137
b,-0.15,-0.4,0,0.2,0.6602,-0.150592172,0.062989886,0.063561691
b,-0.15,0.4,-0.1,0.01,0.6266,-0.150897211,0.066294175,0.065892355
b,-0.15,0.4,-0.1,0.2,0.6581,-0.15045769,0.063313104,0.063254619
b,-0.15,0.4,-0.2,0.01,0.6334,-0.150895457,0.065893037,0.065438038
